Date,Close,Open,High,Low,Volume,Market Cap
01-01-2021,2147022.85,2118226.91,2162544.84,2104315.03,2.98E+12,3.99E+13
02-01-2021,2348254.3,2147191.25,2423382.23,2126339.89,4.96E+12,4.37E+13
03-01-2021,2395940.28,2348410.67,2529617.28,2342775.97,5.75E+12,4.45E+13
04-01-2021,2336819.07,2398054.19,2437574.64,2097177.61,5.93E+12,4.34E+13
05-01-2021,2487166.6,2337193.85,2518591.29,2209558.63,4.94E+12,4.62E+13
06-01-2021,2693424.34,2488716.69,2697471.62,2454056.71,5.51E+12,5.01E+13
07-01-2021,2891625.69,2694119.92,2951202.06,2671167.1,6.20E+12,5.35E+13
08-01-2021,2993704.2,2892413.29,3074446.12,2704388.99,6.47E+12,5.57E+13
09-01-2021,2953814.21,2993045.97,3038962.09,2860393.36,4.55E+12,5.49E+13
10-01-2021,2813688.44,2953790.1,3039347.35,2640494.36,5.87E+12,5.23E+13
11-01-2021,2614815.84,2812961.48,2812961.48,2245555.93,9.05E+12,4.85E+13
12-01-2021,2481337.42,2611118.23,2680655.76,2397142.78,5.50E+12,4.64E+13
13-01-2021,2730439.77,2480763.88,2751168.55,2383596.27,5.07E+12,5.08E+13
14-01-2021,2864221.8,2731079.88,2920723.15,2697886.61,4.65E+12,5.33E+13
15-01-2021,2694199,2861983.76,2891636.51,2536069.81,4.95E+12,5.01E+13
16-01-2021,2645725.42,2693927.05,2770214.02,2605899.66,4.22E+12,4.92E+13
17-01-2021,2617995.76,2644665.79,2686698.92,2492596.78,3.83E+12,4.87E+13
18-01-2021,2680935.24,2618065.89,2728300.8,2555590.31,3.62E+12,4.98E+13
19-01-2021,2640030.18,2681825.01,2762475.94,2640030.18,4.19E+12,4.91E+13
20-01-2021,2591756.27,2638588.75,2662615.22,2448464.38,4.89E+12,4.84E+13
21-01-2021,2248893.46,2591876.31,2592080.34,2207020.64,5.52E+12,4.18E+13
22-01-2021,2409400.94,2248304.47,2467827.37,2112309.23,5.63E+12,4.48E+13
23-01-2021,2340918.69,2407940.46,2435331.39,2298981.76,3.53E+12,4.36E+13
24-01-2021,2356991.12,2340680.23,2404892.89,2270769.4,3.55E+12,4.39E+13
25-01-2021,2361793.41,2356729.85,2538292.61,2340924.46,4.37E+12,4.40E+13
26-01-2021,2374998.38,2361225.7,2391150.73,2262643.15,4.40E+12,4.42E+13
27-01-2021,2222773.46,2374574.03,2374574.03,2145692.73,4.56E+12,4.13E+13
28-01-2021,2440985.28,2223393.91,2469584.57,2194028.46,5.59E+12,4.55E+13
29-01-2021,2501913.45,2503171.31,2798397.54,2340426.66,8.60E+12,4.66E+13
30-01-2021,2498482.63,2500422.31,2539702.79,2401578.44,4.75E+12,4.65E+13
31-01-2021,2414384.48,2498581.49,2499854,2352716.66,3.85E+12,4.49E+13
